hideEmployment by major industry sector[9]
Industry sector,Employee count (as of April 2024)[a]
Total,"169,583,000[b][10]"
Total nonfarm,"158,286,000"
Total private,"135,015,000"
Goods-producing,"21,821,000"
Mining and logging,"641,000"
Logging,"42,200"
"Mining, quarrying, and oil and gas extraction","593,300"
Oil and gas extraction,"118,500"
"Mining, except oil and gas","189,700"
Coal mining,"44,100"
Metal ore mining,"42,900"
Nonmetallic mineral mining and quarrying,"102,700"
Support activities for mining,"290,100"
Construction worker,"8,219,000"
Construction of buildings,"1,867,300"
Residential building,"950,000"
Nonresidential building,"917,300"
Heavy and civil engineering construction,"1,146,300"
Specialty trade contractors,"5,205,100"
Residential specialty trade contractors,"2,407,400"
Nonresidential specialty trade contractors,"2,797,700"
Manufacturing,"12,961,000"
Durable goods,"8,144,000"
Wood products,"415,700"
Nonmetallic mineral products,"422,000"
Primary metals,"370,700"
Fabricated metal products,"1,469,600"
Machinery,"1,139,400"
Computer and electronic products,"1,102,300"
Computer and peripheral equipment,"161,000"
Communications equipment,"85,400"
Semiconductors and electronic components,"392,100"
"Navigational, measuring, electromedical, and control instruments","432,900"
Magnetic and optical media and audio and visual equipment,"31,000"
"Electrical equipment, appliances, and components","411,100"
Transportation equipment [c],"1,841,000"
Motor vehicles and parts [d],"1,063,900"
Furniture and related products,"345,900"
Miscellaneous durable goods manufacturing,"626,500"
Non-durable goods,"4,817,000"
Food manufacturing,"1,735,500"
Textile mills,"88,700"
Textile product mills,"95,400"
Apparel,"83,400"
Paper and paper products,"350,300"
Printing and related support activities,"366,700"
Petroleum and coal products,"109,200"
Chemicals,"898,200"
Plastics and rubber products,"728,100"
"Beverage, tobacco, and leather and allied products","361,900"
Private service-providing,"113,194,000"
"Trade, transportation, and utilities","29,011,000"
Wholesale trade,"6,169,700"
Durable goods,"3,425,300"
Nondurable goods,"2,230,800"
Agents and brokers,"513,600"
Retail trade,"15,677,900"
Motor vehicle and parts dealers,"2,072,700"
Automobile dealers,"1,298,600"
Other motor vehicle dealers,"170,900"
"Automotive parts, accessories, and tire retailers","603,200"
Building material and garden supply stores,"1,375,600"
Food and beverage stores,"3,264,400"
"Furniture, home furnishings, electronics, and appliance stores","821,700"
Furniture and home furnishing stores,"425,500"
Electronics and appliance stores,"396,200"
General merchandise stores,"3,041,600"
Department stores,"1,377,400"
"Warehouse clubs, supercenters, and other general merchandise","2,306,500"
Health and personal care,"1,099,600"
Gasoline stations,"1,080,600"
"Clothing, clothing accessories, shoe, and jewelry stores","1,137,800"
"Sporting goods, hobby, music, book, and miscellaneous stores","1,544,300"
Transportation and warehousing,"6,575,800"
Air transportation,"573,900"
Rail transportation,"153,400"
Water transportation,"74,900"
Truck transportation,"1,557,800"
Transit and ground passenger transportation,"435,100"
Pipeline transportation,"53,600"
Scenic and sightseeing transportation,"31,900"
Support activities for transportation,"839,700"
Couriers and messengers,"1,079,900"
Warehousing and storage,"1,775,600"
Utilities,"587,400"
Information,"3,013,000"
Motion picture and sound recording industries,"434,400"
Publishing industries,"932,400"
Broadcasting and content providers,"341,100"
Telecommunications,"630,000"
"Computing infrastructure, data processing, hosting and related services","498,800"
"Web search portals, libraries, archives, and other information services","176,400"
Financial activities,"9,233,000"
Finance and insurance,"6,732,500"
Monetary authorities-central bank,"22,600"
Credit intermediation and related activities,"2,587,700"
Depository credit intermediation,"1,777,500"
Commercial banking,"1,366,700"
Nondepository credit intermediation,"525,700"
Activities related to credit intermediation,"284,500"
"Securities, commodity contracts, investments, and funds and trusts","1,112,600"
Insurance carriers and related activities,"3,009,600"
Real estate and rental and leasing,"2,500,900"
Real estate,"1,878,800"
Rental and leasing services,"598,600"
Lessors of nonfinancial intangible assets (excluding copyrighted works),"23,500"
Professional and business services,"22,942,000"
"Professional, scientific, and technical services","10,995,500"
Legal services,"1,190,300"
"Accounting, tax preparation, bookkeeping, and payroll services","1,164,000"
