b,DRXFCSD,DRXFCLD
11000000,"b'MILK, HUMAN'","b'Milk, human'"
11100000,"b'MILK, NFS'","b'Milk, NFS'"
11111000,"b'MILK, WHOLE'","b'Milk, whole'"
11112110,"b'MILK, REDUCED FAT (2%)'","b'Milk, reduced fat (2%)'"
11112210,"b'MILK, LOW FAT (1%)'","b'Milk, low fat (1%)'"
11113000,"b'MILK, FAT FREE (SKIM)'","b'Milk, fat free (skim)'"
11114300,"b'MILK, LACTOSE FREE, LOW FAT (1%)'","b'Milk, lactose free, low fat (1%)'"
11114320,"b'MILK, LACTOSE FREE, FAT FREE (SKIM)'","b'Milk, lactose free, fat free (skim)'"
11114330,"b'MILK, LACTOSE FREE, REDUCED FAT (2%)'","b'Milk, lactose free, reduced fat (2%)'"
11114350,"b'MILK, LACTOSE FREE, WHOLE'","b'Milk, lactose free, whole'"
11115300,b'BUTTERMILK',b'Buttermilk'
11115400,b'KEFIR',b'Kefir'
11116000,b'GOAT MILK',b'Goat milk'
11120000,"b'MILK, DRY, RECONSTITUTED, NONFAT'","b'Milk, dry, reconstituted, nonfat'"
11121100,"b'MILK, DRY, RECONSTITUTED, WHOLE'","b'Milk, dry, reconstituted, whole'"
11210050,"b'MILK, EVAPORATED, NS AS TO FAT CONTENT'","b'Milk, evaporated, NS as to fat content'"
11211050,"b'MILK, EVAPORATED, WHOLE'","b'Milk, evaporated, whole'"
11211400,"b'MILK, EVAPORATED, REDUCED FAT (2%)'","b'Milk, evaporated, reduced fat (2%)'"
11212050,"b'MILK, EVAPORATED, FAT FREE (SKIM)'","b'Milk, evaporated, fat free (skim)'"
11220000,"b'MILK, CONDENSED, SWEETENED'","b'Milk, condensed, sweetened'"
11300100,"b'NON-DAIRY MILK, NFS'","b'Non-dairy milk, NFS'"
11320000,"b'SOY MILK, SWEETENED'","b'Soy milk, sweetened'"
11320100,"b'SOY MILK, UNSWEETENED'","b'Soy milk, unsweetened'"
11321000,"b'SOY MILK, CHOCOLATE'","b'Soy milk, chocolate'"
11350000,"b'ALMOND MILK, SWEETENED'","b'Almond milk, sweetened'"
11350010,"b'ALMOND MILK, CHOCOLATE'","b'Almond milk, chocolate'"
11350020,"b'ALMOND MILK, UNSWEETENED'","b'Almond milk, unsweetened'"
11350040,"b'ALMOND MILK, NFS'","b'Almond milk, NFS'"
11360000,b'RICE MILK',b'Rice milk'
11360200,b'OAT MILK',b'Oat milk'
11370000,b'COCONUT MILK',b'Coconut milk'
11400000,"b'YOGURT, NFS'","b'Yogurt, NFS'"
11400010,"b'YOGURT, GREEK, NS AS TO TYPE OF MILK OR FLAVOR'","b'Yogurt, Greek, NS as to type of milk or flavor'"
11410000,"b'YOGURT, NS AS TO TYPE OF MILK OR FLAVOR'","b'Yogurt, NS as to type of milk or flavor'"
11411010,"b'YOGURT, NS AS TO TYPE OF MILK, PLAIN'","b'Yogurt, NS as to type of milk, plain'"
11411100,"b'YOGURT, WHOLE MILK, PLAIN'","b'Yogurt, whole milk, plain'"
11411200,"b'YOGURT, LOW FAT MILK, PLAIN'","b'Yogurt, low fat milk, plain'"
11411300,"b'YOGURT, NONFAT MILK, PLAIN'","b'Yogurt, nonfat milk, plain'"
11411390,"b'YOGURT, GREEK, NS AS TO TYPE OF MILK, PLAIN'","b'Yogurt, Greek, NS as to type of milk, plain'"
11411400,"b'YOGURT, GREEK, WHOLE MILK, PLAIN'","b'Yogurt, Greek, whole milk, plain'"
